cli_district_id,birthdate,lat_street,lon_street,frequency,gender
"[1,8]","[48,52]","[-30.7105131,-32.9019799]","[-62.0061887,-68.7969439]",POPLATEK MESICNE,Female
"[1,6]","[36,44]","[-12.07671465,-9.97261455]","[-67.811422151694,-77.05315265]",POPLATEK MESICNE,Female
"[1,6]","[36,44]","[-12.07671465,-9.97261455]","[-67.811422151694,-77.05315265]",POPLATEK TYDNE,Male
"[1,6]","[36,44]","[-12.07671465,-9.97261455]","[-67.811422151694,-77.05315265]",POPLATEK MESICNE,Female
"[1,6]","[36,44]","[-12.07671465,-9.97261455]","[-67.811422151694,-77.05315265]",POPLATEK MESICNE,Female
"[1,6]","[36,44]","[-12.07671465,-9.97261455]","[-67.811422151694,-77.05315265]",POPLATEK MESICNE,Female
"[1,6]","[36,44]","[-12.07671465,-9.97261455]","[-67.811422151694,-77.05315265]",POPLATEK MESICNE,Male
"[1,3]","[45,51]","[-13.6325181,-17.1768881]","[-48.88268053850169,-73.3392193]",POPLATEK MESICNE,Female
"[1,3]","[45,51]","[-13.6325181,-17.1768881]","[-48.88268053850169,-73.3392193]",POPLATEK MESICNE,Male
"[1,3]","[45,51]","[-13.6325181,-17.1768881]","[-48.88268053850169,-73.3392193]",POPLATEK MESICNE,Male
"[1,3]","[45,51]","[-13.6325181,-17.1768881]","[-48.88268053850169,-73.3392193]",POPLATEK MESICNE,Female
"[1,3]","[45,51]","[-13.6325181,-17.1768881]","[-48.88268053850169,-73.3392193]",POPLATEK MESICNE,Male
"[14,25]","[12,7]","[-14.0219605,-32.9019799]","[-48.88268053850169,-72.5487515]",POPLATEK MESICNE,Female
"[14,25]","[12,7]","[-14.0219605,-32.9019799]","[-48.88268053850169,-72.5487515]",POPLATEK MESICNE,Female
"[14,25]","[12,7]","[-14.0219605,-32.9019799]","[-48.88268053850169,-72.5487515]",POPLATEK MESICNE,Female
"[14,25]","[12,7]","[-14.0219605,-32.9019799]","[-48.88268053850169,-72.5487515]",POPLATEK MESICNE,Male
"[14,25]","[12,7]","[-14.0219605,-32.9019799]","[-48.88268053850169,-72.5487515]",POPLATEK MESICNE,Male
"[14,23]","[24,33]","[-13.6325181,-9.97261455]","[-53.83412901938374,-73.3392193]",POPLATEK MESICNE,Female
"[14,23]","[24,33]","[-13.6325181,-9.97261455]","[-53.83412901938374,-73.3392193]",POPLATEK MESICNE,Male
"[14,23]","[24,33]","[-13.6325181,-9.97261455]","[-53.83412901938374,-73.3392193]",POPLATEK TYDNE,Male
"[14,23]","[24,33]","[-13.6325181,-9.97261455]","[-53.83412901938374,-73.3392193]",POPLATEK MESICNE,Male
"[26,38]","[12,6]","[-17.1768881,-9.97261455]","[-52.4395976,-69.9796745]",POPLATEK MESICNE,Female
"[26,38]","[12,6]","[-17.1768881,-9.97261455]","[-52.4395976,-69.9796745]",POPLATEK MESICNE,Female
"[26,38]","[12,6]","[-17.1768881,-9.97261455]","[-52.4395976,-69.9796745]",POPLATEK MESICNE,Female
"[26,38]","[12,6]","[-17.1768881,-9.97261455]","[-52.4395976,-69.9796745]",POPLATEK MESICNE,Male
"[26,38]","[12,6]","[-17.1768881,-9.97261455]","[-52.4395976,-69.9796745]",POPLATEK MESICNE,Male
"[26,38]","[12,6]","[-17.1768881,-9.97261455]","[-52.4395976,-69.9796745]",POPLATEK MESICNE,Male
"[25,35]","[16,29]","[-12.07671465,-32.9156259]","[-38.5286763,-77.05315265]",POPLATEK MESICNE,Female
"[25,35]","[16,29]","[-12.07671465,-32.9156259]","[-38.5286763,-77.05315265]",POPLATEK MESICNE,Male
"[25,35]","[16,29]","[-12.07671465,-32.9156259]","[-38.5286763,-77.05315265]",POPLATEK MESICNE,Female
"[25,35]","[16,29]","[-12.07671465,-32.9156259]","[-38.5286763,-77.05315265]",POPLATEK MESICNE,Male
"[25,35]","[16,29]","[-12.07671465,-32.9156259]","[-38.5286763,-77.05315265]",POPLATEK MESICNE,Female
"[25,35]","[16,29]","[-12.07671465,-32.9156259]","[-38.5286763,-77.05315265]",POPLATEK MESICNE,Female
"[15,26]","[34,46]","[-17.1768881,-31.42239885]","[-46.9449733979337,-69.9796745]",POPLATEK PO OBRATU,Female
"[15,26]","[34,46]","[-17.1768881,-31.42239885]","[-46.9449733979337,-69.9796745]",POPLATEK MESICNE,Male
"[15,26]","[34,46]","[-17.1768881,-31.42239885]","[-46.9449733979337,-69.9796745]",POPLATEK MESICNE,Male
"[15,26]","[34,46]","[-17.1768881,-31.42239885]","[-46.9449733979337,-69.9796745]",POPLATEK MESICNE,Male
"[15,26]","[34,46]","[-17.1768881,-31.42239885]","[-46.9449733979337,-69.9796745]",POPLATEK MESICNE,Female
"[21,26]","[34,50]","[-12.07671465,-9.97261455]","[-38.5286763,-77.05315265]",POPLATEK MESICNE,Male
"[21,26]","[34,50]","[-12.07671465,-9.97261455]","[-38.5286763,-77.05315265]",POPLATEK MESICNE,Female
"[21,26]","[34,50]","[-12.07671465,-9.97261455]","[-38.5286763,-77.05315265]",POPLATEK MESICNE,Female
"[21,26]","[34,50]","[-12.07671465,-9.97261455]","[-38.5286763,-77.05315265]",POPLATEK MESICNE,Female
"[21,26]","[34,50]","[-12.07671465,-9.97261455]","[-38.5286763,-77.05315265]",POPLATEK MESICNE,Female
"[28,38]","[35,39]","[-30.10748665,-32.9019799]","[-51.124944706569764,-68.7969439]",POPLATEK TYDNE,Female
"[28,38]","[35,39]","[-30.10748665,-32.9019799]","[-51.124944706569764,-68.7969439]",POPLATEK MESICNE,Female
"[28,38]","[35,39]","[-30.10748665,-32.9019799]","[-51.124944706569764,-68.7969439]",POPLATEK MESICNE,Female
"[28,38]","[35,39]","[-30.10748665,-32.9019799]","[-51.124944706569764,-68.7969439]",POPLATEK MESICNE,Male
"[28,38]","[35,39]","[-30.10748665,-32.9019799]","[-51.124944706569764,-68.7969439]",POPLATEK MESICNE,Female
"[28,36]","[35,47]","[-14.0219605,-9.97261455]","[-40.2695785,-72.228777]",POPLATEK MESICNE,Female
"[28,36]","[35,47]","[-14.0219605,-9.97261455]","[-40.2695785,-72.228777]",POPLATEK MESICNE,Male
"[28,36]","[35,47]","[-14.0219605,-9.97261455]","[-40.2695785,-72.228777]",POPLATEK MESICNE,Female
"[28,36]","[35,47]","[-14.0219605,-9.97261455]","[-40.2695785,-72.228777]",POPLATEK MESICNE,Male
"[28,36]","[35,47]","[-14.0219605,-9.97261455]","[-40.2695785,-72.228777]",POPLATEK MESICNE,Male
"[1,14]","[13,7]","[20.816415,8.5511905]","[-156.278317,-98.595697]",POPLATEK MESICNE,Female
"[1,14]","[13,7]","[20.816415,8.5511905]","[-156.278317,-98.595697]",POPLATEK MESICNE,Female
"[1,14]","[13,7]","[20.816415,8.5511905]","[-156.278317,-98.595697]",POPLATEK MESICNE,Female
"[1,14]","[13,7]","[20.816415,8.5511905]","[-156.278317,-98.595697]",POPLATEK MESICNE,Male
"[1,14]","[13,7]","[20.816415,8.5511905]","[-156.278317,-98.595697]",POPLATEK MESICNE,Male
"[1,4]","[13,7]","[30.152275276568435,33.9155475]","[-118.1855016,-93.1461223502957]",POPLATEK MESICNE,Female
"[1,4]","[13,7]","[30.152275276568435,33.9155475]","[-118.1855016,-93.1461223502957]",POPLATEK MESICNE,Female
"[1,4]","[13,7]","[30.152275276568435,33.9155475]","[-118.1855016,-93.1461223502957]",POPLATEK MESICNE,Female
"[1,4]","[13,7]","[30.152275276568435,33.9155475]","[-118.1855016,-93.1461223502957]",POPLATEK MESICNE,Male
"[1,4]","[13,7]","[30.152275276568435,33.9155475]","[-118.1855016,-93.1461223502957]",POPLATEK MESICNE,Female
"[1,3]","[10,9]","[-5.09113595,6.2894933]","[-24.9890036,-82.028534]",POPLATEK MESICNE,Female
"[1,3]","[10,9]","[-5.09113595,6.2894933]","[-24.9890036,-82.028534]",POPLATEK MESICNE,Male
"[1,3]","[10,9]","[-5.09113595,6.2894933]","[-24.9890036,-82.028534]",POPLATEK TYDNE,Female
"[1,3]","[10,9]","[-5.09113595,6.2894933]","[-24.9890036,-82.028534]",POPLATEK MESICNE,Female
"[1,3]","[10,9]","[-5.09113595,6.2894933]","[-24.9890036,-82.028534]",POPLATEK MESICNE,Female
"[1,3]","[10,9]","[-5.09113595,6.2894933]","[-24.9890036,-82.028534]",POPLATEK MESICNE,Female
"[1,8]","[11,7]","[27.717902,34.10608]","[-80.72281,-82.3169059]",POPLATEK TYDNE,Male
"[1,8]","[11,7]","[27.717902,34.10608]","[-80.72281,-82.3169059]",POPLATEK MESICNE,Female
"[1,8]","[11,7]","[27.717902,34.10608]","[-80.72281,-82.3169059]",POPLATEK MESICNE,Male
"[1,8]","[11,7]","[27.717902,34.10608]","[-80.72281,-82.3169059]",POPLATEK MESICNE,Male
"[1,8]","[11,7]","[27.717902,34.10608]","[-80.72281,-82.3169059]",POPLATEK MESICNE,Male
"[17,33]","[11,4]","[20.816415,33.9155475]","[-118.1855016,-93.2205841168782]",POPLATEK MESICNE,Male
"[17,33]","[11,4]","[20.816415,33.9155475]","[-118.1855016,-93.2205841168782]",POPLATEK MESICNE,Female
"[17,33]","[11,4]","[20.816415,33.9155475]","[-118.1855016,-93.2205841168782]",POPLATEK MESICNE,Male
"[17,33]","[11,4]","[20.816415,33.9155475]","[-118.1855016,-93.2205841168782]",POPLATEK MESICNE,Male
"[17,33]","[11,4]","[20.816415,33.9155475]","[-118.1855016,-93.2205841168782]",POPLATEK MESICNE,Female
"[17,33]","[11,4]","[20.816415,33.9155475]","[-118.1855016,-93.2205841168782]",POPLATEK MESICNE,Male
"[35,38]","[10,26]","[26.1314621,33.9155475]","[-118.1855016,-98.595697]",POPLATEK MESICNE,Male
"[35,38]","[10,26]","[26.1314621,33.9155475]","[-118.1855016,-98.595697]",POPLATEK MESICNE,Male
"[35,38]","[10,26]","[26.1314621,33.9155475]","[-118.1855016,-98.595697]",POPLATEK MESICNE,Male
"[35,38]","[10,26]","[26.1314621,33.9155475]","[-118.1855016,-98.595697]",POPLATEK MESICNE,Male
"[35,38]","[10,26]","[26.1314621,33.9155475]","[-118.1855016,-98.595697]",POPLATEK MESICNE,Male
"[16,32]","[16,22]","[-7.118222299999999,4.9525771]","[-1.746981,-82.3169059]",POPLATEK MESICNE,Female
"[16,32]","[16,22]","[-7.118222299999999,4.9525771]","[-1.746981,-82.3169059]",POPLATEK MESICNE,Male
"[16,32]","[16,22]","[-7.118222299999999,4.9525771]","[-1.746981,-82.3169059]",POPLATEK MESICNE,Male
"[16,32]","[16,22]","[-7.118222299999999,4.9525771]","[-1.746981,-82.3169059]",POPLATEK TYDNE,Male
"[20,38]","[10,3]","[27.717902,34.10608]","[-80.72281,-82.3169059]",POPLATEK MESICNE,Male
"[20,38]","[10,3]","[27.717902,34.10608]","[-80.72281,-82.3169059]",POPLATEK MESICNE,Female
"[20,38]","[10,3]","[27.717902,34.10608]","[-80.72281,-82.3169059]",POPLATEK MESICNE,Male
"[20,38]","[10,3]","[27.717902,34.10608]","[-80.72281,-82.3169059]",POPLATEK MESICNE,Female
"[20,38]","[10,3]","[27.717902,34.10608]","[-80.72281,-82.3169059]",POPLATEK MESICNE,Female
"[20,38]","[10,3]","[27.717902,34.10608]","[-80.72281,-82.3169059]",POPLATEK MESICNE,Female
"[1,8]","[30,39]","[20.816415,33.9155475]","[-118.1855016,-95.330347]",POPLATEK MESICNE,Male
"[1,8]","[30,39]","[20.816415,33.9155475]","[-118.1855016,-95.330347]",POPLATEK MESICNE,Male
"[1,8]","[30,39]","[20.816415,33.9155475]","[-118.1855016,-95.330347]",POPLATEK MESICNE,Female
"[1,8]","[30,39]","[20.816415,33.9155475]","[-118.1855016,-95.330347]",POPLATEK MESICNE,Female
"[1,8]","[30,39]","[20.816415,33.9155475]","[-118.1855016,-95.330347]",POPLATEK MESICNE,Male
"[1,8]","[30,39]","[20.816415,33.9155475]","[-118.1855016,-95.330347]",POPLATEK MESICNE,Female
"[1,2]","[39,53]","[33.9155475,34.1179968]","[-118.0136504,-118.1855016]",POPLATEK MESICNE,Female
"[1,2]","[39,53]","[33.9155475,34.1179968]","[-118.0136504,-118.1855016]",POPLATEK MESICNE,Female
"[1,2]","[39,53]","[33.9155475,34.1179968]","[-118.0136504,-118.1855016]",POPLATEK MESICNE,Male
"[1,2]","[39,53]","[33.9155475,34.1179968]","[-118.0136504,-118.1855016]",POPLATEK MESICNE,Female
"[1,2]","[39,53]","[33.9155475,34.1179968]","[-118.0136504,-118.1855016]",POPLATEK MESICNE,Male
"[23,35]","[26,38]","[32.591669,33.9155475]","[-118.1855016,-93.24796]",POPLATEK MESICNE,Male
"[23,35]","[26,38]","[32.591669,33.9155475]","[-118.1855016,-93.24796]",POPLATEK MESICNE,Male
"[23,35]","[26,38]","[32.591669,33.9155475]","[-118.1855016,-93.24796]",POPLATEK MESICNE,Male
"[23,35]","[26,38]","[32.591669,33.9155475]","[-118.1855016,-93.24796]",POPLATEK MESICNE,Female
"[23,35]","[26,38]","[32.591669,33.9155475]","[-118.1855016,-93.24796]",POPLATEK MESICNE,Female
"[19,33]","[40,51]","[32.7675706,33.9155475]","[-116.9642979,-118.1855016]",POPLATEK MESICNE,Female
"[19,33]","[40,51]","[32.7675706,33.9155475]","[-116.9642979,-118.1855016]",POPLATEK MESICNE,Female
"[19,33]","[40,51]","[32.7675706,33.9155475]","[-116.9642979,-118.1855016]",POPLATEK MESICNE,Female
"[19,33]","[40,51]","[32.7675706,33.9155475]","[-116.9642979,-118.1855016]",POPLATEK MESICNE,Female
"[19,33]","[40,51]","[32.7675706,33.9155475]","[-116.9642979,-118.1855016]",POPLATEK TYDNE,Male
"[1,7]","[43,50]","[27.717902,30.3596255]","[-81.6253815,-84.3263267]",POPLATEK MESICNE,Female
"[1,7]","[43,50]","[27.717902,30.3596255]","[-81.6253815,-84.3263267]",POPLATEK MESICNE,Male
"[1,7]","[43,50]","[27.717902,30.3596255]","[-81.6253815,-84.3263267]",POPLATEK TYDNE,Female
"[1,7]","[43,50]","[27.717902,30.3596255]","[-81.6253815,-84.3263267]",POPLATEK TYDNE,Female
"[11,19]","[33,43]","[17.5507345,32.591669]","[-82.3169059,-93.24796]",POPLATEK MESICNE,Male
"[11,19]","[33,43]","[17.5507345,32.591669]","[-82.3169059,-93.24796]",POPLATEK MESICNE,Female
"[11,19]","[33,43]","[17.5507345,32.591669]","[-82.3169059,-93.24796]",POPLATEK MESICNE,Male
"[11,19]","[33,43]","[17.5507345,32.591669]","[-82.3169059,-93.24796]",POPLATEK MESICNE,Female
"[1,5]","[37,51]","[11.1879406,4.9525771]","[-1.746981,2.955759]",POPLATEK MESICNE,Male
"[1,5]","[37,51]","[11.1879406,4.9525771]","[-1.746981,2.955759]",POPLATEK MESICNE,Female
"[1,5]","[37,51]","[11.1879406,4.9525771]","[-1.746981,2.955759]",POPLATEK MESICNE,Female
"[1,5]","[37,51]","[11.1879406,4.9525771]","[-1.746981,2.955759]",POPLATEK TYDNE,Female
"[1,5]","[37,51]","[11.1879406,4.9525771]","[-1.746981,2.955759]",POPLATEK MESICNE,Male
"[1,8]","[27,52]","[30.1728021,34.804425]","[-80.72281,-81.6253815]",POPLATEK MESICNE,Female
"[1,8]","[27,52]","[30.1728021,34.804425]","[-80.72281,-81.6253815]",POPLATEK MESICNE,Female
"[1,8]","[27,52]","[30.1728021,34.804425]","[-80.72281,-81.6253815]",POPLATEK MESICNE,Female
"[1,8]","[27,52]","[30.1728021,34.804425]","[-80.72281,-81.6253815]",POPLATEK MESICNE,Male
"[1,8]","[27,52]","[30.1728021,34.804425]","[-80.72281,-81.6253815]",POPLATEK MESICNE,Male
"[1,3]","[10,6]","[35.31586,41.55622341313624]","[-108.50606284392546,-84.80508836324131]",POPLATEK TYDNE,Female
"[1,3]","[10,6]","[35.31586,41.55622341313624]","[-108.50606284392546,-84.80508836324131]",POPLATEK MESICNE,Female
"[1,3]","[10,6]","[35.31586,41.55622341313624]","[-108.50606284392546,-84.80508836324131]",POPLATEK TYDNE,Female
"[1,3]","[10,6]","[35.31586,41.55622341313624]","[-108.50606284392546,-84.80508836324131]",POPLATEK MESICNE,Female
"[1,3]","[10,6]","[35.31586,41.55622341313624]","[-108.50606284392546,-84.80508836324131]",POPLATEK MESICNE,Male
"[10,7]","[10,9]","[36.10976315,41.25248895]","[-111.72072281716063,-96.2248996]",POPLATEK MESICNE,Male
"[10,7]","[10,9]","[36.10976315,41.25248895]","[-111.72072281716063,-96.2248996]",POPLATEK MESICNE,Male
"[10,7]","[10,9]","[36.10976315,41.25248895]","[-111.72072281716063,-96.2248996]",POPLATEK MESICNE,Female
"[10,7]","[10,9]","[36.10976315,41.25248895]","[-111.72072281716063,-96.2248996]",POPLATEK MESICNE,Female
"[10,7]","[10,9]","[36.10976315,41.25248895]","[-111.72072281716063,-96.2248996]",POPLATEK MESICNE,Female
"[1,8]","[13,17]","[35.6403451,40.3070954]","[-111.75649325870965,-97.5035722]",POPLATEK MESICNE,Male
"[1,8]","[13,17]","[35.6403451,40.3070954]","[-111.75649325870965,-97.5035722]",POPLATEK MESICNE,Male
"[1,8]","[13,17]","[35.6403451,40.3070954]","[-111.75649325870965,-97.5035722]",POPLATEK MESICNE,Male
"[1,8]","[13,17]","[35.6403451,40.3070954]","[-111.75649325870965,-97.5035722]",POPLATEK TYDNE,Female
"[1,8]","[13,17]","[35.6403451,40.3070954]","[-111.75649325870965,-97.5035722]",POPLATEK MESICNE,Female
"[1,9]","[19,25]","[35.31586,41.55622341313624]","[-111.75649325870965,-86.4829549]",POPLATEK MESICNE,Female
"[1,9]","[19,25]","[35.31586,41.55622341313624]","[-111.75649325870965,-86.4829549]",POPLATEK MESICNE,Female
"[1,9]","[19,25]","[35.31586,41.55622341313624]","[-111.75649325870965,-86.4829549]",POPLATEK MESICNE,Female
"[1,9]","[19,25]","[35.31586,41.55622341313624]","[-111.75649325870965,-86.4829549]",POPLATEK MESICNE,Male
"[1,9]","[19,25]","[35.31586,41.55622341313624]","[-111.75649325870965,-86.4829549]",POPLATEK TYDNE,Female
"[11,9]","[13,22]","[34.95125925,41.55567177346235]","[-75.1554974,-84.80486282582908]",POPLATEK MESICNE,Male
"[11,9]","[13,22]","[34.95125925,41.55567177346235]","[-75.1554974,-84.80486282582908]",POPLATEK MESICNE,Female
"[11,9]","[13,22]","[34.95125925,41.55567177346235]","[-75.1554974,-84.80486282582908]",POPLATEK MESICNE,Female
"[11,9]","[13,22]","[34.95125925,41.55567177346235]","[-75.1554974,-84.80486282582908]",POPLATEK TYDNE,Male
"[11,9]","[13,22]","[34.95125925,41.55567177346235]","[-75.1554974,-84.80486282582908]",POPLATEK MESICNE,Male
"[11,9]","[13,22]","[34.95125925,41.55567177346235]","[-75.1554974,-84.80486282582908]",POPLATEK MESICNE,Male
"[1,5]","[10,23]","[41.03420700144865,43.1900046]","[-5.9201863,-8.421749]",POPLATEK MESICNE,Male
"[1,5]","[10,23]","[41.03420700144865,43.1900046]","[-5.9201863,-8.421749]",POPLATEK MESICNE,Male
"[1,5]","[10,23]","[41.03420700144865,43.1900046]","[-5.9201863,-8.421749]",POPLATEK MESICNE,Female
"[1,5]","[10,23]","[41.03420700144865,43.1900046]","[-5.9201863,-8.421749]",POPLATEK MESICNE,Female
"[1,5]","[10,23]","[41.03420700144865,43.1900046]","[-5.9201863,-8.421749]",POPLATEK MESICNE,Female
"[1,9]","[14,6]","[38.1529011,43.1900046]","[-1.124265,-5.9201863]",POPLATEK MESICNE,Male
"[1,9]","[14,6]","[38.1529011,43.1900046]","[-1.124265,-5.9201863]",POPLATEK TYDNE,Female
"[1,9]","[14,6]","[38.1529011,43.1900046]","[-1.124265,-5.9201863]",POPLATEK MESICNE,Male
"[1,9]","[14,6]","[38.1529011,43.1900046]","[-1.124265,-5.9201863]",POPLATEK MESICNE,Female
"[1,9]","[14,6]","[38.1529011,43.1900046]","[-1.124265,-5.9201863]",POPLATEK MESICNE,Male
"[1,5]","[20,24]","[35.5749326,43.1900046]","[-2.2774515500000003,-5.9201863]",POPLATEK MESICNE,Female
"[1,5]","[20,24]","[35.5749326,43.1900046]","[-2.2774515500000003,-5.9201863]",POPLATEK TYDNE,Female
"[1,5]","[20,24]","[35.5749326,43.1900046]","[-2.2774515500000003,-5.9201863]",POPLATEK MESICNE,Female
"[1,5]","[20,24]","[35.5749326,43.1900046]","[-2.2774515500000003,-5.9201863]",POPLATEK MESICNE,Female
"[17,23]","[13,9]","[35.6403451,40.3556395]","[-111.72062445293074,-97.5035722]",POPLATEK MESICNE,Male
"[17,23]","[13,9]","[35.6403451,40.3556395]","[-111.72062445293074,-97.5035722]",POPLATEK MESICNE,Male
"[17,23]","[13,9]","[35.6403451,40.3556395]","[-111.72062445293074,-97.5035722]",POPLATEK TYDNE,Male
"[17,23]","[13,9]","[35.6403451,40.3556395]","[-111.72062445293074,-97.5035722]",POPLATEK TYDNE,Female
"[17,23]","[13,9]","[35.6403451,40.3556395]","[-111.72062445293074,-97.5035722]",POPLATEK MESICNE,Male
"[14,22]","[15,24]","[35.31586,42.68931759198888]","[-115.15799561955828,-91.76543485357159]",POPLATEK MESICNE,Male
"[14,22]","[15,24]","[35.31586,42.68931759198888]","[-115.15799561955828,-91.76543485357159]",POPLATEK MESICNE,Male
"[14,22]","[15,24]","[35.31586,42.68931759198888]","[-115.15799561955828,-91.76543485357159]",POPLATEK MESICNE,Female
"[14,22]","[15,24]","[35.31586,42.68931759198888]","[-115.15799561955828,-91.76543485357159]",POPLATEK MESICNE,Female
"[14,22]","[15,24]","[35.31586,42.68931759198888]","[-115.15799561955828,-91.76543485357159]",POPLATEK MESICNE,Male
"[25,35]","[10,9]","[36.10976315,40.3084892]","[-111.75744478718045,-90.0577783]",POPLATEK MESICNE,Male
"[25,35]","[10,9]","[36.10976315,40.3084892]","[-111.75744478718045,-90.0577783]",POPLATEK MESICNE,Female
"[25,35]","[10,9]","[36.10976315,40.3084892]","[-111.75744478718045,-90.0577783]",POPLATEK TYDNE,Male
"[25,35]","[10,9]","[36.10976315,40.3084892]","[-111.75744478718045,-90.0577783]",POPLATEK MESICNE,Male
"[25,35]","[10,9]","[36.10976315,40.3084892]","[-111.75744478718045,-90.0577783]",POPLATEK MESICNE,Male
"[27,36]","[10,25]","[35.31586,40.761985]","[-111.043401,-90.0577783]",POPLATEK MESICNE,Male
"[27,36]","[10,25]","[35.31586,40.761985]","[-111.043401,-90.0577783]",POPLATEK MESICNE,Male
"[27,36]","[10,25]","[35.31586,40.761985]","[-111.043401,-90.0577783]",POPLATEK MESICNE,Male
"[27,36]","[10,25]","[35.31586,40.761985]","[-111.043401,-90.0577783]",POPLATEK MESICNE,Male
"[27,36]","[10,25]","[35.31586,40.761985]","[-111.043401,-90.0577783]",POPLATEK TYDNE,Female
"[15,27]","[15,6]","[39.862921,41.55567177346235]","[-74.89545148637558,-86.207463]",POPLATEK MESICNE,Male
"[15,27]","[15,6]","[39.862921,41.55567177346235]","[-74.89545148637558,-86.207463]",POPLATEK PO OBRATU,Male
"[15,27]","[15,6]","[39.862921,41.55567177346235]","[-74.89545148637558,-86.207463]",POPLATEK MESICNE,Female
"[15,27]","[15,6]","[39.862921,41.55567177346235]","[-74.89545148637558,-86.207463]",POPLATEK TYDNE,Female
"[15,27]","[15,6]","[39.862921,41.55567177346235]","[-74.89545148637558,-86.207463]",POPLATEK MESICNE,Male
"[14,25]","[10,4]","[35.5749326,43.1900046]","[-2.2774515500000003,-8.421749]",POPLATEK MESICNE,Female
"[14,25]","[10,4]","[35.5749326,43.1900046]","[-2.2774515500000003,-8.421749]",POPLATEK MESICNE,Male
"[14,25]","[10,4]","[35.5749326,43.1900046]","[-2.2774515500000003,-8.421749]",POPLATEK MESICNE,Male
"[14,25]","[10,4]","[35.5749326,43.1900046]","[-2.2774515500000003,-8.421749]",POPLATEK PO OBRATU,Male
"[14,25]","[10,4]","[35.5749326,43.1900046]","[-2.2774515500000003,-8.421749]",POPLATEK MESICNE,Female
"[28,35]","[10,7]","[38.87067216179654,40.4959049]","[-78.4306783,-86.4829549]",POPLATEK MESICNE,Male
